model,seed,test_size,test_count,threshold,accuracy,precision,recall,f1,roc_auc,pr_auc
Logistic C=0.1,84,0.1,31,0.35,0.9354838709677419,0.9285714285714286,0.9285714285714286,0.9285714285714286,0.9579831932773109,0.9510177166192202
Logistic C=0.25,96,0.1,31,0.4,0.9354838709677419,0.9285714285714286,0.9285714285714286,0.9285714285714286,0.9579831932773109,0.955528994814709
Logistic C=0.1,46,0.1,31,0.5,0.9354838709677419,1.0,0.8571428571428571,0.9230769230769231,0.9579831932773109,0.961361737677527
Logistic C=0.25,74,0.1,31,0.55,0.9354838709677419,1.0,0.8571428571428571,0.9230769230769231,0.9579831932773109,0.961361737677527
Logistic C=0.25,74,0.1,31,0.6,0.9354838709677419,1.0,0.8571428571428571,0.9230769230769231,0.9579831932773109,0.961361737677527
Logistic C=0.1,15,0.1,31,0.45,0.9354838709677419,0.9285714285714286,0.9285714285714286,0.9285714285714286,0.9537815126050421,0.9685714285714284
Logistic C=0.25,21,0.1,31,0.5,0.9354838709677419,0.9285714285714286,0.9285714285714286,0.9285714285714286,0.9537815126050421,0.9531480424337566
Logistic C=0.25,21,0.1,31,0.55,0.9354838709677419,0.9285714285714286,0.9285714285714286,0.9285714285714286,0.9537815126050421,0.9531480424337566
Logistic C=0.25,21,0.1,31,0.6,0.9354838709677419,0.9285714285714286,0.9285714285714286,0.9285714285714286,0.9537815126050421,0.9531480424337566
Logistic C=0.05,15,0.1,31,0.55,0.9354838709677419,1.0,0.8571428571428571,0.9230769230769231,0.9537815126050421,0.9685714285714284
Logistic C=0.05,15,0.1,31,0.6,0.9354838709677419,1.0,0.8571428571428571,0.9230769230769231,0.9537815126050421,0.9685714285714284
Logistic C=0.1,15,0.1,31,0.55,0.9354838709677419,1.0,0.8571428571428571,0.9230769230769231,0.9537815126050421,0.9685714285714284
Logistic C=0.1,15,0.1,31,0.6,0.9354838709677419,1.0,0.8571428571428571,0.9230769230769231,0.9537815126050421,0.9685714285714284
Logistic C=0.25,45,0.1,31,0.4,0.9354838709677419,0.875,1.0,0.9333333333333333,0.953781512605042,0.9413069073783358
Logistic C=0.25,45,0.1,31,0.35,0.9354838709677419,0.875,1.0,0.9333333333333333,0.953781512605042,0.9413069073783358
Logistic C=0.25,45,0.1,31,0.45,0.9354838709677419,0.875,1.0,0.9333333333333333,0.953781512605042,0.9413069073783358
Logistic C=0.25,84,0.1,31,0.35,0.9354838709677419,0.9285714285714286,0.9285714285714286,0.9285714285714286,0.953781512605042,0.9430812086827123
Logistic C=0.25,84,0.1,31,0.3,0.9354838709677419,0.9285714285714286,0.9285714285714286,0.9285714285714286,0.953781512605042,0.9430812086827123
Logistic C=0.1,48,0.1,31,0.55,0.9354838709677419,1.0,0.8571428571428571,0.9230769230769231,0.953781512605042,0.9587301587301587
Logistic C=0.05,21,0.1,31,0.5,0.9354838709677419,0.9285714285714286,0.9285714285714286,0.9285714285714286,0.9495798319327731,0.9555007621777807
Logistic C=0.05,21,0.1,31,0.55,0.9354838709677419,0.9285714285714286,0.9285714285714286,0.9285714285714286,0.9495798319327731,0.9555007621777807
Logistic C=0.1,21,0.1,31,0.5,0.9354838709677419,0.9285714285714286,0.9285714285714286,0.9285714285714286,0.9495798319327731,0.9509835402692544
Logistic C=0.1,21,0.1,31,0.55,0.9354838709677419,0.9285714285714286,0.9285714285714286,0.9285714285714286,0.9495798319327731,0.9509835402692544
Logistic C=0.1,54,0.1,31,0.5,0.9354838709677419,0.9285714285714286,0.9285714285714286,0.9285714285714286,0.9495798319327731,0.9555007621777807
Logistic C=0.25,2,0.1,31,0.5,0.9354838709677419,0.9285714285714286,0.9285714285714286,0.9285714285714286,0.9495798319327731,0.9509835402692544
Logistic C=0.25,54,0.1,31,0.45,0.9354838709677419,0.9285714285714286,0.9285714285714286,0.9285714285714286,0.9495798319327731,0.9555007621777807
Logistic C=0.05,32,0.1,31,0.5,0.9354838709677419,0.875,1.0,0.9333333333333333,0.9453781512605042,0.9127808699237269
Logistic C=0.05,32,0.1,31,0.55,0.9354838709677419,0.875,1.0,0.9333333333333333,0.9453781512605042,0.9127808699237269
Logistic C=0.1,32,0.1,31,0.5,0.9354838709677419,0.875,1.0,0.9333333333333333,0.9453781512605042,0.9127808699237269
Logistic C=0.1,32,0.1,31,0.55,0.9354838709677419,0.875,1.0,0.9333333333333333,0.9453781512605042,0.9127808699237269
Logistic C=0.25,32,0.1,31,0.5,0.9354838709677419,0.875,1.0,0.9333333333333333,0.9453781512605042,0.9127808699237269
Logistic C=0.25,32,0.1,31,0.55,0.9354838709677419,0.875,1.0,0.9333333333333333,0.9453781512605042,0.9127808699237269
Logistic C=0.25,32,0.1,31,0.6,0.9354838709677419,0.875,1.0,0.9333333333333333,0.9453781512605042,0.9127808699237269
Logistic C=0.05,20,0.1,31,0.55,0.9354838709677419,0.9285714285714286,0.9285714285714286,0.9285714285714286,0.9453781512605042,0.8701265004836434
Logistic C=0.05,20,0.1,31,0.6,0.9354838709677419,0.9285714285714286,0.9285714285714286,0.9285714285714286,0.9453781512605042,0.8701265004836434
Logistic C=0.05,41,0.1,31,0.5,0.9354838709677419,1.0,0.8571428571428571,0.9230769230769231,0.9369747899159664,0.9490259740259739
Logistic C=0.05,41,0.1,31,0.55,0.9354838709677419,1.0,0.8571428571428571,0.9230769230769231,0.9369747899159664,0.9490259740259739
Logistic C=0.1,41,0.1,31,0.5,0.9354838709677419,1.0,0.8571428571428571,0.9230769230769231,0.9327731092436975,0.9470496894409937
Logistic C=0.1,41,0.1,31,0.55,0.9354838709677419,1.0,0.8571428571428571,0.9230769230769231,0.9327731092436975,0.9470496894409937
Logistic C=0.25,41,0.1,31,0.5,0.9354838709677419,1.0,0.8571428571428571,0.9230769230769231,0.9285714285714285,0.9460150375939849
Logistic C=0.25,41,0.1,31,0.45,0.9354838709677419,1.0,0.8571428571428571,0.9230769230769231,0.9285714285714285,0.9460150375939849
Logistic C=0.1,97,0.1,31,0.55,0.9032258064516129,1.0,0.7857142857142857,0.88,1.0,0.9999999999999998
