feature,importance
feature_186,0.30860399623987134
feature_231,0.2870071517901688
feature_080,0.28241666086417794
feature_088,0.2817164302146664
feature_236,0.27241644081218286
feature_200,0.27051213031407073
feature_201,0.26913533049035904
feature_262,0.26050093719933165
feature_140,0.2518475251888704
feature_238,0.24976151802472502
feature_215,0.24584729360236135
feature_181,0.24120139014613018
feature_195,0.2406115686384242
feature_148,0.23995170716299477
feature_147,0.2379103781306659
feature_177,0.23522436142928052
feature_041,0.22647729251830817
feature_170,0.2207065897069687
feature_020,0.21400240766706194
feature_235,0.20930200739867724
feature_077,0.2041029448217223
feature_152,0.20352482863670812
feature_065,0.1988887949048747
feature_251,0.19255947597543113
feature_188,0.18789547763818865
feature_212,0.1858981624737512
feature_207,0.1838017687804495
feature_001_1.0,0.18294791023736887
feature_172,0.1791430026021209
feature_165,0.17810514228659383
feature_064,0.17793820841936747
feature_104,0.1732229557546526
feature_013,0.1725980005387374
feature_191,0.17251687857031084
feature_199,0.17216346318640527
feature_228,0.17033153660495662
feature_226,0.16466081216199044
feature_100,0.16014146874680715
feature_136,0.15541397183454822
feature_271,0.14967546835456502
feature_218,0.14936651277705426
feature_268,0.148405348927623
feature_005,0.14789131269469322
feature_011,0.14390947049898134
feature_209,0.14097983192267113
feature_257,0.1380168236288935
feature_185,0.13490914913122043
feature_052,0.13340717514644904
feature_124,0.1323311284682103
feature_175,0.13157125252926663
feature_137,0.1255671311080311
feature_001_0.0,0.1254169070605999
feature_219,0.12293341941338078
feature_277,0.12138576175233186
feature_202,0.11693595970468838
feature_032,0.11558143007850719
feature_051,0.11383866522434213
feature_003,0.11197467881276961
feature_125,0.10854810659057705
feature_230,0.10247140683221988
feature_028,0.0987991132192843
feature_270,0.09847936757123779
feature_211,0.09610730562539196
feature_160,0.09555239030548324
feature_250,0.094218157521673
feature_159,0.08550585124471691
feature_149,0.08293096750502744
feature_267,0.0817789993676338
feature_161,0.07931353869324584
feature_135,0.07804708207806083
feature_076,0.07649573620210987
feature_187,0.0764144051157509
feature_216,0.0739202223065878
feature_205,0.0687530224304314
feature_260,0.0635990686731434
feature_027,0.0532827198725777
feature_099,0.049585339088114466
feature_034_1.0,0.04543357236698799
feature_123,0.04456994497661897
feature_193,0.04299824985579362
feature_015,0.04037313728541976
feature_182,0.040061645266927445
feature_053,0.034382657062293556
feature_192,0.03226684701264724
feature_034_0.0,0.02703458875247976
feature_087,0.02328164701188311
feature_024_0.0,0.019853331591017785
feature_024_1.0,0.019637860091647585
feature_063,0.01680801627899509
feature_183,0.016699109816396288
feature_107_1.0,0.01604107264612779
feature_056,0.007425230282636105
feature_046_1.0,0.005924780837972908
feature_163_0.0,0.005046827807893032
feature_042,0.004699757649236685
feature_134_1.0,0.0038584320027334287
feature_126_8.0,0.0033706964291215957
feature_043_0.0,0.0032902726158938744
feature_108_0.0,0.003160429933438658
feature_081_0.0,0.0030663354686640454
feature_130_0.0,0.002536553958176909
feature_114_24.0,0.002437996395705871
feature_061_1.0,0.0019016539011827802
feature_072_0.0,0.0018647473155583123
feature_120_0.0,0.0018229284975261782
feature_057_0.0,0.0016201023388289991
feature_043_44.0,0.0015712011069553213
feature_030_36.0,0.0014549180549048393
feature_114_20.0,0.0013459536910512648
feature_109_0.0,0.001344117912659942
feature_062_1.0,0.0013190526437821546
feature_120_1.0,0.0012660192124197853
feature_129_1.0,0.0012658097215678462
feature_213,0.0010402654608402404
feature_122_1.0,0.0009607153179867479
feature_018_0.0,0.0009025491600095821
feature_058_1.0,0.0008513981252387181
feature_096_0.0,0.0007854998697165511
feature_119_0.0,0.0006586228488949089
feature_066_44.0,0.0006248801882220564
feature_097_1.0,0.00058501431016133
feature_035_1.0,0.0005349425915374204
feature_203,0.00030292237600054446
feature_253_0.4,0.00030232707791906234
feature_273_0.5,0.0002690167647443258
feature_130_1.0,0.00020365714781668404
feature_060_0.0,0.0001896790995302094
feature_243_0.9,9.400281543221833e-05
feature_091_0.0,5.1660495792084156e-05
feature_054,4.810420277508804e-05
feature_081_1.0,1.4894616216599806e-05
feature_224_0.0,9.767294335641084e-06
feature_174_-1.5,5.721935572910607e-06
feature_146_1.0,4.518039537309656e-06
feature_115_36.0,1.139886997247714e-06
